,Date,Price,Open,High,Low,Vol.,Change %
348,2020-12-13,171.85666666666665,172.02333333333334,172.78666666666666,171.31,,
349,2020-12-14,171.54,171.91,172.52,170.91,7.63M,-0.55%
350,2020-12-15,173.94,173.43,173.98,173.05,6.84M,1.40%
351,2020-12-16,174.9,174.13,175.01,173.02,8.14M,0.55%
352,2020-12-17,176.74,177.15,177.87,176.57,9.44M,1.05%
353,2020-12-18,176.44,176.65,176.98,176.1,6.79M,-0.17%
354,2020-12-19,176.25333333333333,176.53,176.96666666666667,175.98666666666665,,
355,2020-12-20,176.06666666666666,176.41,176.95333333333332,175.87333333333333,,
356,2020-12-21,175.88,176.29,176.94,175.76,7.68M,-0.32%
357,2020-12-22,174.49,176.2,176.34,174.34,9.43M,-0.79%
358,2020-12-23,175.65,175.1,176.21,175.06,6.53M,0.66%
359,2020-12-24,176.35,175.55,176.37,175.51,3.70M,0.40%
360,2020-12-25,176.19,175.97750000000002,176.755,175.54,,
361,2020-12-26,176.03,176.405,177.14,175.57,,
362,2020-12-27,175.87,176.83249999999998,177.525,175.6,,
363,2020-12-28,175.71,177.26,177.91,175.63,7.77M,-0.36%
364,2020-12-29,176.35,176.25,176.97,175.57,5.98M,0.36%
365,2020-12-30,177.7,176.44,177.72,176.44,5.58M,0.77%
366,2020-12-31,178.36,178.07,178.4,177.32,7.54M,0.37%
